name,city,stalp,zip,repdte,bkclass,total_assets,total_liabilities,net_income,total_loans_and_leases,loan_amount_to_individuals,micro_loan_amount,small_loan_amount,micro_loan_number,small_loan_number,agg_loan_amount,agg_loan_number
1880 Bank,Cambridge,MD,21613,6/30/16,SM,305914,262136,6070,227304,3049,3904,53665,162,218,4654,36
1st Advantage Bank,Saint Peters,MO,63376,6/30/16,NM,93900,86189,176,75834,158,1349,29047,43,83,440,1
1st Bank,Broadus,MT,59317,6/30/16,SM,50119,44457,384,26595,918,4777,0,93,0,15242,291
1st Bank and Trust,Broken Bow,OK,74728,6/30/16,SM,136544,124085,1538,81316,21927,7525,13922,303,93,7593,285
1st Bank of Sea Isle City,Sea Isle City,NJ,8243,6/30/16,SB,237611,213322,369,173339,637,1424,7042,31,35,0,0
1st Bank Yuma,Yuma,AZ,85364,6/30/16,NM,293569,263184,1337,198034,1621,3971,69809,146,238,4048,28
1st Cameron State Bank,Cameron,MO,64429,6/30/16,NM,58877,53988,45,28006,1315,533,2270,16,14,3785,48
1st Capital Bank,Monterey,CA,93940,6/30/16,NM,546044,499778,1393,384359,189,5303,59651,135,240,521,11
1st Century Bank   National Association,Los Angeles,CA,90067,6/30/16,N,763205,696887,552,642569,10914,2079,78522,48,199,0,0
1st Colonial Community Bank,Collingswood,NJ,8108,6/30/16,NM,470144,437554,1867,334924,3462,7221,55996,215,287,37,1
1st Community Bank,Sherrard,IL,61281,6/30/16,NM,64962,58549,169,44717,1561,1317,5044,75,30,14147,245
1st Constitution Bank,Cranbury,NJ,8512,6/30/16,NM,1068736,951524,4670,764800,26693,4421,122123,134,468,0,0
1st Equity Bank,Skokie,IL,60076,6/30/16,NM,92475,78066,606,76216,107,1547,13777,37,48,0,0
1st Equity Bank Northwest,Buffalo Grove,IL,60089,6/30/16,NM,36960,28852,10,27751,149,460,4180,7,10,0,0
1st Financial Bank USA,Dakota Dunes,SD,57049,6/30/16,NM,678103,542993,3738,528728,516886,387,1553,15,12,3311,59
1st Manatee Bank,Parrish,FL,34219,6/30/16,NM,146222,132970,573,115476,460,1502,23717,51,86,1001,6
1st National Bank,Lebanon,OH,45036,6/30/16,N,143199,128413,568,101316,989,1278,17931,44,60,0,0
1st Security Bank of Washington,Mountlake Terrac,WA,98043,6/30/16,SB,783870,700080,4758,622751,165547,976,34194,36,106,0,0
1st Source Bank,South Bend,IN,46601,6/30/16,SM,5368372,4692943,28852,4168687,132847,41559,423648,1946,2051,38887,455
1st State Bank,Saginaw,MI,48604,6/30/16,NM,229103,209011,712,166452,1134,9400,79430,338,394,27,1
1st State Bank of Mason City,Mason City,IL,62664,6/30/16,NM,28392,24598,196,11724,3239,1384,0,54,0,2354,33
1st Summit Bank,Johnstown,PA,15904,6/30/16,NM,957777,870087,5158,479440,28571,11915,60987,647,280,827,12
1st Trust Bank  Inc.,Hazard,KY,41701,6/30/16,NM,205428,187021,456,176985,4512,8149,53468,231,202,492,8
1st United Bank,Faribault,MN,55021,6/30/16,NM,145229,133678,769,82425,3140,1310,18944,69,70,2140,10
21st Century Bank,Loretto,MN,55357,6/30/16,NM,382607,333046,1640,283743,476,5333,106376,162,418,1562,9
5Star Bank,Colorado Springs,CO,80914,6/30/16,NM,148186,131893,731,123707,761,2278,38372,77,138,521,2
A J Smith Federal Savings Bank,Midlothian,IL,60445,6/30/16,SA,202131,171741,362,110823,74,98,1859,4,17,0,0
ABandT National Bank,Albany,GA,31708,6/30/16,N,139637,121578,311,121457,4102,3288,30727,107,123,1347,16
Abacus Federal Savings Bank,New York,NY,10013,6/30/16,SA,246050,204075,192,188413,153,18,43381,7,120,0,0
Abbeville Building and Loan (A State-Chartered Savings Bank),Abbeville,LA,70510,6/30/16,SB,66234,52021,-41,41154,55,0,0,0,0,0,0
Abbeville First Bank  SSB,Abbeville,SC,29620,6/30/16,SB,74832,66599,466,43581,660,835,5908,29,25,0,0
AbbyBank,Abbotsford,WI,54405,6/30/16,NM,342026,308399,1481,258283,1290,6905,40505,270,179,41607,530
ABC Bank,Chicago,IL,60644,6/30/16,NM,334322,294972,1557,236767,1773,3789,72374,150,239,0,0
Abington Bank,Abington,MA,2351,6/30/16,SM,132230,120556,317,103682,162,620,20895,17,60,0,0
Academy Bank  National Association,Colorado Springs,CO,80920,6/30/16,N,1035119,852254,3761,659249,12464,533,28472,23,116,94,2
ACB Bank,Cherokee,OK,73728,6/30/16,NM,112559,102921,1207,90033,3010,5288,16639,218,73,24601,337
Access Bank,Omaha,NE,68114,6/30/16,NM,297418,262511,766,229726,5686,3363,49543,190,206,269,3
Access National Bank,Reston,VA,20191,6/30/16,N,1304255,1196490,9532,997845,9100,4720,187082,112,613,163,1
AccessBank Texas,Denton,TX,76201,6/30/16,NM,277554,245395,765,222633,4323,7041,59726,225,231,1812,18
ACNB Bank,Gettysburg,PA,17325,6/30/16,NM,1157164,1057328,5240,867787,14501,10956,123295,365,499,14639,118
Adams Bank and Trust,Ogallala,NE,69153,6/30/16,SM,686206,613528,3839,609668,12221,25507,96483,881,387,132696,1161
Adams Community Bank,Adams,MA,1220,6/30/16,SB,476917,426742,1409,384920,9238,6096,22899,287,132,0,0
